l,snr_db,accuracy
2,-6,tensor(0.5146)
2,-5,tensor(0.5444)
2,-4,tensor(0.5886)
2,-3,tensor(0.6191)
2,-2,tensor(0.6655)
2,-1,tensor(0.7057)
2,0,tensor(0.7489)
2,1,tensor(0.7911)
2,2,tensor(0.8391)
2,3,tensor(0.8849)
2,4,tensor(0.9204)
2,5,tensor(0.9522)
2,6,tensor(0.9772)
2,7,tensor(0.9905)
2,8,tensor(0.9966)
2,9,tensor(0.9991)
2,10,tensor(0.9997)
3,-6,tensor(0.3683)
3,-5,tensor(0.4104)
3,-4,tensor(0.4476)
3,-3,tensor(0.4864)
3,-2,tensor(0.5430)
3,-1,tensor(0.5859)
3,0,tensor(0.6666)
3,1,tensor(0.7025)
3,2,tensor(0.7731)
3,3,tensor(0.8378)
3,4,tensor(0.8931)
3,5,tensor(0.9392)
3,6,tensor(0.9660)
3,7,tensor(0.9854)
3,8,tensor(0.9945)
3,9,tensor(0.9977)
3,10,tensor(0.9994)
4,-6,tensor(0.2729)
4,-5,tensor(0.3001)
4,-4,tensor(0.3417)
4,-3,tensor(0.3880)
4,-2,tensor(0.4361)
4,-1,tensor(0.4975)
4,0,tensor(0.5657)
4,1,tensor(0.6291)
4,2,tensor(0.7100)
4,3,tensor(0.7882)
4,4,tensor(0.8546)
4,5,tensor(0.9124)
4,6,tensor(0.9503)
4,7,tensor(0.9775)
4,8,tensor(0.9904)
4,9,tensor(0.9977)
4,10,tensor(0.9985)
5,-6,tensor(0.1970)
5,-5,tensor(0.2310)
5,-4,tensor(0.2658)
5,-3,tensor(0.2958)
5,-2,tensor(0.3643)
5,-1,tensor(0.4119)
5,0,tensor(0.4811)
5,1,tensor(0.5636)
5,2,tensor(0.6628)
5,3,tensor(0.7224)
5,4,tensor(0.8180)
5,5,tensor(0.9006)
5,6,tensor(0.9425)
5,7,tensor(0.9786)
5,8,tensor(0.9894)
5,9,tensor(0.9952)
5,10,tensor(0.9989)
6,-6,tensor(0.1392)
6,-5,tensor(0.1724)
6,-4,tensor(0.2037)
6,-3,tensor(0.2454)
6,-2,tensor(0.3011)
6,-1,tensor(0.3440)
6,0,tensor(0.4178)
6,1,tensor(0.4953)
6,2,tensor(0.6060)
6,3,tensor(0.6880)
6,4,tensor(0.7943)
6,5,tensor(0.8835)
